,community,males,females,total_ident,total,prop_males,prop_females,prop_ident
24,craftcms,111.0,6.0,117.0,199.0,0.9487179487179487,0.05128205128205128,0.5879396984924623
25,crypto,653.0,29.0,682.0,1913.0,0.9574780058651027,0.04252199413489736,0.35650810245687403
26,cs,969.0,53.0,1022.0,2842.0,0.9481409001956947,0.05185909980430528,0.35960591133004927
27,cstheory,1107.0,51.0,1158.0,2625.0,0.9559585492227979,0.04404145077720207,0.44114285714285717
28,datascience,80.0,5.0,85.0,242.0,0.9411764705882353,0.058823529411764705,0.3512396694214876
29,dba,3268.0,127.0,3395.0,8860.0,0.9625920471281296,0.0374079528718704,0.38318284424379234
30,diy,1613.0,70.0,1683.0,4074.0,0.958407605466429,0.041592394533571005,0.41310751104565535
31,drupal,1372.0,108.0,1480.0,4459.0,0.927027027027027,0.07297297297297298,0.33191298497420946
32,dsp,460.0,32.0,492.0,1514.0,0.9349593495934959,0.06504065040650407,0.3249669749009247
33,earthscience,84.0,3.0,87.0,247.0,0.9655172413793104,0.034482758620689655,0.3522267206477733
34,ebooks,91.0,8.0,99.0,249.0,0.9191919191919192,0.08080808080808081,0.39759036144578314
35,electronics,2505.0,92.0,2597.0,7495.0,0.9645745090489026,0.03542549095109742,0.3464976651100734
36,ell,704.0,67.0,771.0,2265.0,0.9130998702983139,0.08690012970168612,0.3403973509933775
37,english,5348.0,441.0,5789.0,15372.0,0.9238210399032648,0.0761789600967352,0.37659380692167577
38,expatriates,138.0,10.0,148.0,378.0,0.9324324324324325,0.06756756756756757,0.3915343915343915
39,expressionengine,358.0,27.0,385.0,741.0,0.9298701298701298,0.07012987012987013,0.5195681511470985
40,fitness,734.0,63.0,797.0,2141.0,0.9209535759096612,0.07904642409033877,0.37225595516113963
41,freelancing,159.0,21.0,180.0,459.0,0.8833333333333333,0.11666666666666667,0.39215686274509803
42,french,321.0,33.0,354.0,1038.0,0.9067796610169492,0.09322033898305085,0.34104046242774566
43,gamedev,2803.0,128.0,2931.0,8514.0,0.9563288979870351,0.04367110201296486,0.3442565186751233
44,gaming,3671.0,201.0,3872.0,11996.0,0.9480888429752066,0.05191115702479339,0.32277425808602866
45,gardening,433.0,61.0,494.0,1209.0,0.8765182186234818,0.12348178137651822,0.40860215053763443
46,genealogy,108.0,39.0,147.0,280.0,0.7346938775510204,0.2653061224489796,0.525
47,german,499.0,44.0,543.0,1591.0,0.9189686924493554,0.08103130755064457,0.34129478315524825
48,gis,1757.0,159.0,1916.0,5274.0,0.9170146137787056,0.08298538622129437,0.3632916192643155
49,graphicdesign,1497.0,110.0,1607.0,4419.0,0.9315494710640946,0.06845052893590542,0.3636569359583616
50,ham,78.0,2.0,80.0,197.0,0.975,0.025,0.40609137055837563
51,hermeneutics,211.0,20.0,231.0,537.0,0.9134199134199135,0.08658008658008658,0.4301675977653631
52,hinduism,50.0,3.0,53.0,185.0,0.9433962264150944,0.05660377358490566,0.2864864864864865
53,history,495.0,41.0,536.0,1399.0,0.9235074626865671,0.07649253731343283,0.38313080771979985
54,homebrew,359.0,8.0,367.0,955.0,0.9782016348773842,0.021798365122615803,0.3842931937172775
55,islam,231.0,21.0,252.0,704.0,0.9166666666666666,0.08333333333333333,0.35795454545454547
56,italian,55.0,8.0,63.0,191.0,0.873015873015873,0.12698412698412698,0.3298429319371728
57,japanese,271.0,32.0,303.0,1001.0,0.8943894389438944,0.10561056105610561,0.3026973026973027
58,joomla,66.0,6.0,72.0,183.0,0.9166666666666666,0.08333333333333333,0.39344262295081966
59,judaism,374.0,38.0,412.0,1123.0,0.9077669902912622,0.09223300970873786,0.3668744434550312
60,linguistics,327.0,25.0,352.0,948.0,0.9289772727272727,0.07102272727272728,0.37130801687763715
61,magento,488.0,37.0,525.0,1316.0,0.9295238095238095,0.07047619047619047,0.39893617021276595
62,martialarts,136.0,7.0,143.0,405.0,0.951048951048951,0.04895104895104895,0.3530864197530864
