,acc_rate_difference_mean,acc_rate_difference_median,acc_rate_pvalue,category,community,mean_utility_difference_mean,mean_utility_difference_median,mean_utility_pvalue,questions_avg_difference_mean,questions_avg_difference_median,questions_avg_pvalue
30,0.003898405166966157,0.022727272727272707,0.8359845871549013,culture-recreation,gaming,0.1676863092695001,0.29050726987864595,0.044445300468725586,1.1956960863450394,1.0,0.0031093242262566698
31,-0.028639566074226047,0.0,0.6802326309581261,life-arts,gardening,0.05317361574604006,0.006761065687225162,0.7117483472562357,0.3173676861689394,-1.0,0.654120517274076
32,0.021768966849451454,0.0,0.7054499189468486,life-arts,genealogy,0.34770472383175327,0.298048252356338,0.08573069921326128,-0.3463367161479205,0.0,0.8603532307646646
33,-0.08628462248866742,0.0,0.41429924674439955,culture-recreation,german,-0.06526879358424889,-0.10748062001387812,0.6253938049162563,-0.7990191306249992,-1.0,0.38457649962475826
34,-0.0016621608403463717,-0.008547008547008572,0.8650250053432452,technology,gis,-0.03220805791260542,-0.02735966315870858,0.9535085562943596,-0.04172232610901938,-0.3571428571428572,0.12003099714856977
35,-0.022309653460674622,0.0,0.9487054704516006,life-arts,graphicdesign,0.01165396307674971,0.17608648045083333,0.7002821779058971,1.5824564988693708,0.0,0.12403230733009225
36,0.03614575144089721,0.0,0.9879860754308197,culture-recreation,hermeneutics,-0.09246427595644645,0.05934332076609236,0.6936486773022918,0.6003459897854819,1.0235294117647058,0.45569758350396883
37,0.05109278969405742,0.16666666666666666,0.2219034132347828,culture-recreation,history,0.24072372065511644,0.45779066883162634,0.12012872369858588,1.3103902242592076,2.2631578947368425,0.04076596908216321
38,0.03411109526149489,0.1366013071895425,0.33770933228827227,culture-recreation,islam,-0.36679558151469716,-0.41843164659173454,0.14813640750039744,0.8722852533311212,-0.2333333333333334,0.4766791392136388
39,0.10062085824226724,0.01461038961038963,0.5586999096721569,culture-recreation,japanese,0.3052082632940214,0.6897828006809597,0.46796290002958896,-1.1208290018209528,-1.0,0.23208298380860137
40,0.03384085421515334,-0.014423076923076927,0.876769879925258,culture-recreation,judaism,0.5235325703860692,0.6177095130523766,0.01595194088438156,0.810407207581127,-0.4166666666666661,0.5999782987692656
41,-0.08924288661780877,0.0,0.19166595603639947,science,linguistics,0.10460953794584249,0.1536365069451252,0.7009973506837325,-0.9362621313316031,-0.4404761904761907,0.6985526978982239
42,0.11007259530566543,0.11904761904761907,0.08733567303400842,technology,magento,-0.1561843477212428,-0.054258575744910026,0.6551028151908835,0.11840401777157417,0.046287593984962516,0.8919472328445159
43,0.0027484117903091576,-0.04999999999999999,0.46096423874251424,science,math,0.042930799069205106,0.10794350152299154,0.5297997318988219,0.46581567583993744,0.0,0.44549986041549317
44,-0.011088037504410841,0.07621951219512196,0.9490513257866854,technology,mathematica,-0.26451624786644745,-0.30477113267446004,0.3799309272729916,0.23908188831205202,-0.125,0.41471100628190194
45,0.016687752597214667,-0.16666666666666666,0.3868683682974817,science,mathoverflow,0.1500907965630148,0.04507352878341869,0.09787917260124183,0.32821489822135774,0.42307692307692335,0.31058659524074883
46,-0.2727814300973222,-0.21637426900584794,0.1344816272021444,culture-recreation,mechanics,-0.38762386163749585,-0.21847674710916676,0.5631299328363959,1.6157631087333075,0.3333333333333335,0.9866302092674198
47,0.07999380955077981,0.0,0.14321197910670147,life-arts,money,0.11121803941579217,0.17721968916842837,0.5787227043879366,1.7734032262780595,0.9583333333333335,0.0038122272754658455
48,0.09081198894601772,0.0,0.5695556667131771,life-arts,movies,0.6420125364098307,1.022678492334978,0.003465063553478952,1.7032080790687338,0.625,0.3959934525219332
49,0.009090035872781455,0.0,0.463522130890192,life-arts,music,0.11144534211936957,-0.13331194791496723,0.5902379828444522,0.21512593276394743,0.7083333333333339,0.44444493269696217
50,0.0991080405232252,0.0,0.3926208272910413,culture-recreation,outdoors,0.1582198109089566,0.1016072242598464,0.4812233405573285,2.364022220124582,3.666666666666666,0.22158124944745983
